Species,Name,Current,RCP2.6,RCP2.6CSH,Type1,RCP6.0,RCP6.0CSH,Type2,RCP8.5,RCP8.5CSH,Type3
sp4010,Jasminum fuchsiifolium,538,544,0.01,LR,499,-0.07,LR,853,0.59,LR
sp4011,Jasminum grandiflorum,615,872,0.42,LR,883,0.44,LR,588,-0.04,LR
sp4012,Jasminum hongshuihoense,242,35,-0.86,CE,43,-0.82,CE,416,0.72,LR
sp4013,Jasminum humile,1613,2355,0.46,LR,2585,0.6,LR,1792,0.11,LR
sp4014,Jasminum humile var. microphyllum,970,1072,0.11,LR,1134,0.17,LR,1060,0.09,LR
sp4015,Jasminum lanceolaria,4326,4414,0.02,LR,4024,-0.07,LR,3770,-0.13,LR
sp4016,Jasminum lang,298,72,-0.76,EN,213,-0.29,LR,978,2.28,LR
sp4017,Jasminum laurifolium,996,1277,0.28,LR,1773,0.78,LR,1662,0.67,LR
sp4018,Jasminum mesnyi,2005,2057,0.03,LR,2201,0.1,LR,2354,0.17,LR
sp4019,Jasminum microcalyx,337,571,0.69,LR,947,1.81,LR,2143,5.36,LR
sp4020,Jasminum nervosum,1434,2314,0.61,LR,2701,0.88,LR,2447,0.71,LR
sp4021,Jasminum nintooides,56,1,-0.98,CE,0,-1,EX,131,1.34,LR
sp4022,Jasminum nudiflorum,3267,2602,-0.2,LR,2450,-0.25,LR,2353,-0.28,LR
sp4023,Jasminum nudiflorum var. pulvinatum,662,527,-0.2,LR,452,-0.32,VU,506,-0.24,LR
sp4024,Jasminum officinale,1905,2132,0.12,LR,2103,0.1,LR,1739,-0.09,LR
sp4025,Jasminum officinale var. piliferum,85,15,-0.82,CE,12,-0.86,CE,15,-0.82,CE
sp4026,Jasminum officinale var. tibeticum,847,2081,1.46,LR,2150,1.54,LR,2009,1.37,LR
sp4027,Jasminum pentaneurum,777,505,-0.35,VU,966,0.24,LR,988,0.27,LR
sp4028,Jasminum pierreanum,537,1259,1.34,LR,1576,1.93,LR,1957,2.64,LR
sp4029,Jasminum polyanthum,1372,2706,0.97,LR,2886,1.1,LR,2781,1.03,LR
sp4030,Jasminum prainii,514,275,-0.46,VU,117,-0.77,EN,89,-0.83,CE
sp4031,Jasminum sambac,1776,2017,0.14,LR,2146,0.21,LR,3112,0.75,LR
sp4032,Jasminum seguinii,1872,1872,0,LR,2230,0.19,LR,2829,0.51,LR
sp4033,Jasminum sinense,3172,3080,-0.03,LR,2524,-0.2,LR,2742,-0.14,LR
sp4034,Jasminum subglandulosum,80,341,3.26,LR,218,1.73,LR,152,0.9,LR
sp4035,Jasminum subhumile,1351,2911,1.15,LR,3019,1.23,LR,2937,1.17,LR
sp4036,Jasminum tonkinense,794,1082,0.36,LR,1016,0.28,LR,913,0.15,LR
sp4037,Jasminum urophyllum,1395,1091,-0.22,LR,677,-0.51,EN,518,-0.63,EN
sp4038,Jasminum wengeri,114,326,1.86,LR,286,1.51,LR,226,0.98,LR
sp4039,Jatropha curcas,2419,4739,0.96,LR,5262,1.18,LR,4986,1.06,LR
sp4040,Juglans mandshurica,4494,5261,0.17,LR,4814,0.07,LR,2524,-0.44,VU
sp4041,Juglans regia,4762,4278,-0.1,LR,4456,-0.06,LR,4382,-0.08,LR
sp4042,Juglans sigillata,1746,2667,0.53,LR,2780,0.59,LR,2972,0.7,LR
sp4043,Juniperus baimashanensis,29,0,-1,EX,0,-1,EX,0,-1,EX
sp4044,Juniperus centrasiatica,377,1364,2.62,LR,1149,2.05,LR,1156,2.07,LR
sp4045,Juniperus chengii,57,16,-0.72,EN,22,-0.61,EN,25,-0.56,EN
sp4046,Juniperus chinensis,2824,2495,-0.12,LR,2640,-0.07,LR,2697,-0.04,LR
sp4047,Juniperus convallium,1336,744,-0.44,VU,769,-0.42,VU,683,-0.49,VU
sp4048,Juniperus convallium var. microsperma,437,228,-0.48,VU,116,-0.73,EN,45,-0.9,CE
sp4049,Juniperus davurica,1819,1481,-0.19,LR,981,-0.46,VU,717,-0.61,EN
sp4050,Juniperus formosana,4050,6185,0.53,LR,6325,0.56,LR,4514,0.11,LR
sp4051,Juniperus gaussenii,836,1954,1.34,LR,2303,1.75,LR,2628,2.14,LR
sp4052,Juniperus indica,1504,3351,1.23,LR,3326,1.21,LR,2470,0.64,LR
sp4053,Juniperus komarovii,1050,1970,0.88,LR,2107,1.01,LR,2189,1.08,LR
sp4054,Juniperus pingii,2081,2815,0.35,LR,2822,0.36,LR,2733,0.31,LR
sp4055,Juniperus pingii var. wilsonii,2245,3493,0.56,LR,3237,0.44,LR,2864,0.28,LR
sp4056,Juniperus przewalskii,639,3585,4.61,LR,3519,4.51,LR,3663,4.73,LR
sp4057,Juniperus pseudosabina,212,398,0.88,LR,330,0.56,LR,168,-0.21,LR
sp4058,Juniperus pseudosabina var. turkestanica,685,740,0.08,LR,530,-0.23,LR,414,-0.4,VU
sp4059,Juniperus recurva,717,2607,2.64,LR,2701,2.77,LR,1705,1.38,LR
sp4060,Juniperus recurva var. coxii,297,220,-0.26,LR,182,-0.39,VU,222,-0.25,LR
sp4061,Juniperus rigida,3476,4984,0.43,LR,4729,0.36,LR,3611,0.04,LR
sp4062,Juniperus sabina,2781,2601,-0.06,LR,2413,-0.13,LR,2464,-0.11,LR
sp4063,Juniperus saltuaria,1625,1736,0.07,LR,1708,0.05,LR,1609,-0.01,LR
sp4064,Juniperus sibirica,2978,3624,0.22,LR,3316,0.11,LR,2453,-0.18,LR
sp4065,Juniperus squamata,2972,3519,0.18,LR,3602,0.21,LR,2934,-0.01,LR
sp4066,Juniperus tibetica,1552,1904,0.23,LR,1980,0.28,LR,1834,0.18,LR
sp4067,Kadsura angustifolia,254,7,-0.97,CE,3,-0.99,CE,346,0.36,LR
sp4068,Kadsura coccinea,3161,2047,-0.35,VU,1496,-0.53,EN,1406,-0.56,EN
sp4069,Kadsura heteroclita,2929,2369,-0.19,LR,1867,-0.36,VU,1474,-0.5,EN
sp4070,Kadsura induta,180,99,-0.45,VU,75,-0.58,EN,392,1.18,LR
sp4071,Kadsura japonica,254,736,1.9,LR,633,1.49,LR,356,0.4,LR
sp4072,Kadsura longipedunculata,3997,4425,0.11,LR,4475,0.12,LR,3832,-0.04,LR
sp4073,Kadsura oblongifolia,1269,918,-0.28,LR,1104,-0.13,LR,1556,0.23,LR
sp4074,Kadsura renchangiana,376,40,-0.89,CE,7,-0.98,CE,148,-0.61,EN
sp4075,Kalidium caspicum,1663,2137,0.29,LR,1977,0.19,LR,2215,0.33,LR
sp4076,Kalidium cuspidatum,4363,5107,0.17,LR,5014,0.15,LR,5044,0.16,LR
sp4077,Kalidium foliatum,5658,5384,-0.05,LR,5266,-0.07,LR,5432,-0.04,LR
sp4078,Kalidium gracile,5926,5970,0.01,LR,6231,0.05,LR,6504,0.1,LR
sp4079,Kalopanax septemlobus,1411,1945,0.38,LR,2110,0.5,LR,1867,0.32,LR
sp4080,Kerria japonica,4111,5073,0.23,LR,4851,0.18,LR,4208,0.02,LR
sp4081,Keteleeria davidiana,1992,1010,-0.49,VU,1037,-0.48,VU,1687,-0.15,LR
sp4082,Keteleeria davidiana var. calcarea,321,41,-0.87,CE,52,-0.84,CE,185,-0.42,VU
sp4083,Keteleeria evelyniana,1521,2683,0.76,LR,3124,1.05,LR,3252,1.14,LR
sp4084,Keteleeria fortunei,811,438,-0.46,VU,433,-0.47,VU,557,-0.31,VU
sp4085,Keteleeria fortunei var. cyclolepis,1825,2440,0.34,LR,2357,0.29,LR,2222,0.22,LR
sp4086,Keteleeria pubescens,714,274,-0.62,EN,120,-0.83,CE,305,-0.57,EN
sp4087,Kibatalia macrophylla,198,554,1.8,LR,592,1.99,LR,559,1.82,LR
sp4088,Kleinhovia hospita,156,397,1.54,LR,571,2.66,LR,788,4.05,LR
sp4089,Knema elegans,214,434,1.03,LR,464,1.17,LR,336,0.57,LR
sp4090,Knema globularia,267,279,0.04,LR,283,0.06,LR,351,0.31,LR
sp4091,Knema lenta,328,1731,4.28,LR,1650,4.03,LR,817,1.49,LR
sp4092,Knema tenuinervia,255,609,1.39,LR,557,1.18,LR,414,0.62,LR
sp4093,Koelreuteria bipinnata,3324,2303,-0.31,VU,1963,-0.41,VU,1667,-0.5,EN
sp4094,Koelreuteria elegans ssp. formosana,78,638,7.18,LR,593,6.6,LR,205,1.63,LR
sp4095,Koelreuteria paniculata,4648,4124,-0.11,LR,3610,-0.22,LR,2583,-0.44,VU
sp4096,Koilodepas hainanense,77,50,-0.35,VU,82,0.06,LR,184,1.39,LR
sp4097,Kolkwitzia amabilis,711,596,-0.16,LR,572,-0.2,LR,487,-0.32,VU
sp4098,Kopsia arborea,426,742,0.74,LR,751,0.76,LR,618,0.45,LR
sp4099,Korthalsella japonica,3315,3249,-0.02,LR,2422,-0.27,LR,1835,-0.45,VU
sp4100,Krascheninnikovia arborescens,2977,4391,0.47,LR,4199,0.41,LR,3721,0.25,LR
sp4101,Krascheninnikovia ceratoides,5625,5750,0.02,LR,5654,0.01,LR,6015,0.07,LR
sp4102,Krascheninnikovia compacta,2418,2267,-0.06,LR,2101,-0.13,LR,2062,-0.15,LR
sp4103,Krascheninnikovia compacta var. longipilosa,853,1118,0.31,LR,907,0.06,LR,1028,0.21,LR
sp4104,Krascheninnikovia ewersmannia,2276,2526,0.11,LR,2740,0.2,LR,3687,0.62,LR
sp4105,Kydia calycina,477,723,0.52,LR,687,0.44,LR,522,0.09,LR
sp4106,Kydia glabrescens,488,868,0.78,LR,782,0.6,LR,689,0.41,LR
sp4107,Lagerstroemia balansae,33,55,0.67,LR,85,1.58,LR,265,7.03,LR
sp4108,Lagerstroemia caudata,892,131,-0.85,CE,154,-0.83,CE,276,-0.69,EN
sp4109,Lagerstroemia excelsa,306,118,-0.61,EN,31,-0.9,CE,30,-0.9,CE
sp4110,Lagerstroemia fordii,35,8,-0.77,EN,5,-0.86,CE,1,-0.97,CE
sp4111,Lagerstroemia glabra,201,80,-0.6,EN,40,-0.8,CE,189,-0.06,LR
sp4112,Lagerstroemia indica,4338,4755,0.1,LR,4739,0.09,LR,5175,0.19,LR
sp4113,Lagerstroemia intermedia,248,433,0.75,LR,436,0.76,LR,312,0.26,LR
sp4114,Lagerstroemia limii,1112,2057,0.85,LR,1667,0.5,LR,896,-0.19,LR
sp4115,Lagerstroemia subcostata,3028,3042,0,LR,2541,-0.16,LR,2324,-0.23,LR
sp4116,Lagerstroemia tomentosa,81,242,1.99,LR,241,1.98,LR,79,-0.02,LR
sp4117,Lannea coromandelica,846,963,0.14,LR,996,0.18,LR,797,-0.06,LR
sp4118,Lantana camara,2959,3444,0.16,LR,3949,0.33,LR,4184,0.41,LR
sp4119,Laportea violacea,101,24,-0.76,EN,33,-0.67,EN,136,0.35,LR
sp4120,Larix gmelinii,818,624,-0.24,LR,366,-0.55,EN,269,-0.67,EN
sp4121,Larix gmelinii var. principis-rupprechtii,2103,4152,0.97,LR,4388,1.09,LR,4998,1.38,LR
sp4122,Larix griffithii,322,918,1.85,LR,808,1.51,LR,318,-0.01,LR
sp4123,Larix mastersiana,393,647,0.65,LR,640,0.63,LR,474,0.21,LR
sp4124,Larix potaninii,1222,1495,0.22,LR,1497,0.23,LR,1448,0.18,LR
sp4125,Larix potaninii var. australis,823,1373,0.67,LR,1322,0.61,LR,1191,0.45,LR
sp4126,Larix potaninii var. chinensis,26,41,0.58,LR,53,1.04,LR,88,2.38,LR
sp4127,Larix sibirica,919,963,0.05,LR,1029,0.12,LR,893,-0.03,LR
sp4128,Larix speciosa,491,746,0.52,LR,683,0.39,LR,557,0.13,LR
sp4129,Lasianthus attenuatus,1367,2347,0.72,LR,2676,0.96,LR,2384,0.74,LR
sp4130,Lasianthus austrosinensis,308,629,1.04,LR,795,1.58,LR,786,1.55,LR
sp4131,Lasianthus austroyunnanensis,146,293,1.01,LR,277,0.9,LR,678,3.64,LR
sp4132,Lasianthus biermannii,1463,2612,0.79,LR,2710,0.85,LR,2482,0.7,LR
sp4133,Lasianthus biermannii ssp. crassipedunculatus,381,1039,1.73,LR,985,1.59,LR,1308,2.43,LR
sp4134,Lasianthus biflorus,196,427,1.18,LR,550,1.81,LR,517,1.64,LR
sp4135,Lasianthus calycinus,35,1,-0.97,CE,6,-0.83,CE,3,-0.91,CE
sp4136,Lasianthus chinensis,1848,2065,0.12,LR,2097,0.13,LR,2120,0.15,LR
sp4137,Lasianthus chrysoneurus,216,371,0.72,LR,391,0.81,LR,273,0.26,LR
sp4138,Lasianthus chunii,686,801,0.17,LR,482,-0.3,VU,516,-0.25,LR
sp4139,Lasianthus curtisii,846,921,0.09,LR,868,0.03,LR,1845,1.18,LR
sp4140,Lasianthus filipes,652,86,-0.87,CE,127,-0.81,CE,684,0.05,LR
sp4141,Lasianthus fordii,2393,3281,0.37,LR,3624,0.51,LR,4428,0.85,LR
sp4142,Lasianthus formosensis,556,663,0.19,LR,769,0.38,LR,1066,0.92,LR
sp4143,Lasianthus henryi,1887,2541,0.35,LR,2490,0.32,LR,2325,0.23,LR
sp4144,Lasianthus hirsutus,173,313,0.81,LR,467,1.7,LR,567,2.28,LR
sp4145,Lasianthus hispidulus,76,149,0.96,LR,118,0.55,LR,105,0.38,LR
sp4146,Lasianthus hookeri,630,1479,1.35,LR,1371,1.18,LR,818,0.3,LR
sp4147,Lasianthus hookeri var. dunniana,363,903,1.49,LR,815,1.25,LR,597,0.64,LR
sp4148,Lasianthus inodorus,133,255,0.92,LR,297,1.23,LR,203,0.53,LR
sp4149,Lasianthus japonicus,3347,4042,0.21,LR,3932,0.17,LR,3329,-0.01,LR
sp4150,Lasianthus japonicus ssp. longicaudus,1540,2174,0.41,LR,1767,0.15,LR,1466,-0.05,LR
sp4151,Lasianthus japonicus var. latifolius,49,5,-0.9,CE,9,-0.82,CE,28,-0.43,VU
sp4152,Lasianthus lancifolius,286,247,-0.14,LR,247,-0.14,LR,1289,3.51,LR
sp4153,Lasianthus lucidus,289,589,1.04,LR,573,0.98,LR,404,0.4,LR
sp4154,Lasianthus micranthus,2187,3298,0.51,LR,3501,0.6,LR,3394,0.55,LR
sp4155,Lasianthus obscurus,50,218,3.36,LR,231,3.62,LR,109,1.18,LR
sp4156,Lasianthus rhinocerotis ssp. pedunculatus,467,542,0.16,LR,739,0.58,LR,1623,2.48,LR
sp4157,Lasianthus rhinocerotis ssp. xishuangbannaensis,50,218,3.36,LR,231,3.62,LR,109,1.18,LR
sp4158,Lasianthus schmidtii,78,256,2.28,LR,269,2.45,LR,114,0.46,LR
sp4159,Lasianthus sikkimensis,1763,2641,0.5,LR,3264,0.85,LR,2966,0.68,LR
sp4160,Lasianthus trichophlebus,299,299,0,LR,255,-0.15,LR,307,0.03,LR
sp4161,Lasianthus trichophlebus var. latifolius,30,73,1.43,LR,67,1.23,LR,68,1.27,LR
sp4162,Lasianthus verticillatus,274,527,0.92,LR,637,1.32,LR,460,0.68,LR
sp4163,Lasianthus wardii,177,360,1.03,LR,439,1.48,LR,179,0.01,LR
sp4164,Lasiococca comberi var. pseudoverticillata,177,384,1.17,LR,405,1.29,LR,306,0.73,LR
sp4165,Laurocerasus aquifolioides,33,67,1.03,LR,15,-0.55,EN,12,-0.64,EN
sp4166,Laurocerasus australis,292,39,-0.87,CE,38,-0.87,CE,347,0.19,LR
sp4167,Laurocerasus fordiana,213,48,-0.77,EN,57,-0.73,EN,544,1.55,LR
sp4168,Laurocerasus hypotricha,1467,2151,0.47,LR,2523,0.72,LR,1762,0.2,LR
sp4169,Laurocerasus jenkinsii,182,309,0.7,LR,292,0.6,LR,241,0.32,LR
sp4170,Laurocerasus marginata,296,738,1.49,LR,252,-0.15,LR,944,2.19,LR
sp4171,Laurocerasus phaeosticta,3454,2426,-0.3,VU,1741,-0.5,EN,1374,-0.6,EN
sp4172,Laurocerasus spinulosa,2329,2763,0.19,LR,2152,-0.08,LR,1421,-0.39,VU
sp4173,Laurocerasus undulata,2449,2593,0.06,LR,2110,-0.14,LR,1495,-0.39,VU
sp4174,Laurocerasus zippeliana,3351,2179,-0.35,VU,1856,-0.45,VU,1689,-0.5,EN
sp4175,Ledum palustre,1091,962,-0.12,LR,673,-0.38,VU,300,-0.73,EN
sp4176,Ledum palustre var. decumbens,890,1373,0.54,LR,1143,0.28,LR,325,-0.63,EN
sp4177,Ledum palustre var. dilatatum,939,3283,2.5,LR,3151,2.36,LR,980,0.04,LR
sp4178,Leea aequata,218,415,0.9,LR,396,0.82,LR,365,0.67,LR
sp4179,Leea asiatica,319,631,0.98,LR,635,0.99,LR,327,0.03,LR
sp4180,Leea compactiflora,497,858,0.73,LR,842,0.69,LR,636,0.28,LR
sp4181,Leea glabra,36,9,-0.75,EN,15,-0.58,EN,70,0.94,LR
sp4182,Leea guineensis,203,411,1.02,LR,384,0.89,LR,346,0.7,LR
sp4183,Leea indica,1102,1712,0.55,LR,1905,0.73,LR,1788,0.62,LR
sp4184,Leea macrophylla,426,2404,4.64,LR,2547,4.98,LR,1440,2.38,LR
sp4185,Lepionurus sylvestris,85,47,-0.45,VU,14,-0.84,CE,120,0.41,LR
sp4186,Lepisanthes rubiginosa,508,1091,1.15,LR,1379,1.71,LR,1765,2.47,LR
sp4187,Lepisanthes senegalensis,256,365,0.43,LR,416,0.63,LR,481,0.88,LR
sp4188,Leptoboea multiflora,171,625,2.65,LR,652,2.81,LR,187,0.09,LR
sp4189,Leptodermis buxifolia,134,148,0.1,LR,236,0.76,LR,172,0.28,LR
sp4190,Leptodermis dielsiana,25,0,-1,EX,1,-0.96,CE,0,-1,EX
sp4191,Leptodermis diffusa,268,291,0.09,LR,369,0.38,LR,378,0.41,LR
sp4192,Leptodermis forrestii,942,2419,1.57,LR,2611,1.77,LR,2031,1.16,LR
sp4193,Leptodermis glomerata,594,1251,1.11,LR,1365,1.3,LR,1362,1.29,LR
sp4194,Leptodermis gracilis,227,361,0.59,LR,306,0.35,LR,67,-0.7,EN
sp4195,Leptodermis handeliana,31,21,-0.32,VU,26,-0.16,LR,105,2.39,LR
sp4196,Leptodermis hirsutiflora,124,1055,7.51,LR,1030,7.31,LR,684,4.52,LR
sp4197,Leptodermis oblonga,3350,2506,-0.25,LR,2423,-0.28,LR,2023,-0.4,VU
sp4198,Leptodermis ordosica,353,359,0.02,LR,487,0.38,LR,336,-0.05,LR
sp4199,Leptodermis ovata,374,130,-0.65,EN,117,-0.69,EN,901,1.41,LR
sp4200,Leptodermis parvifolia,711,2638,2.71,LR,2971,3.18,LR,2502,2.52,LR
sp4201,Leptodermis pilosa,2209,2602,0.18,LR,2752,0.25,LR,2560,0.16,LR
sp4202,Leptodermis pilosa var. acanthoclada,912,397,-0.56,EN,238,-0.74,EN,80,-0.91,CE
sp4203,Leptodermis pilosa var. glabrescens,551,845,0.53,LR,936,0.7,LR,723,0.31,LR
sp4204,Leptodermis potanina,2035,3085,0.52,LR,3192,0.57,LR,2890,0.42,LR
sp4205,Leptodermis potanina var. glauca,1351,1462,0.08,LR,1620,0.2,LR,1757,0.3,LR
sp4206,Leptodermis potanina var. tomentosa,811,1296,0.6,LR,1350,0.66,LR,1399,0.73,LR
sp4207,Leptodermis pumila,25,0,-1,EX,1,-0.96,CE,0,-1,EX
sp4208,Leptodermis purdomii,206,1458,6.08,LR,1804,7.76,LR,224,0.09,LR
sp4209,Leptodermis scabrida,273,2102,6.7,LR,2176,6.97,LR,274,0,LR
sp4210,Leptodermis schneideri,1296,1601,0.24,LR,1663,0.28,LR,1370,0.06,LR
sp4211,Leptodermis scissa,305,1105,2.62,LR,1249,3.1,LR,1371,3.5,LR
sp4212,Leptodermis tomentella,1017,2345,1.31,LR,2532,1.49,LR,2485,1.44,LR
sp4213,Leptodermis tubicalyx,284,1354,3.77,LR,1479,4.21,LR,390,0.37,LR
sp4214,Leptodermis velutiniflora,79,506,5.41,LR,759,8.61,LR,1131,13.32,LR
sp4215,Leptodermis velutiniflora var. tenera,429,995,1.32,LR,1016,1.37,LR,883,1.06,LR
sp4216,Leptodermis wilsoni,41,226,4.51,LR,196,3.78,LR,71,0.73,LR
sp4217,Leptodermis yui,40,247,5.18,LR,312,6.8,LR,335,7.38,LR
sp4218,Leptopus australis,26,59,1.27,LR,91,2.5,LR,121,3.65,LR
sp4219,Leptopus chinensis,5225,4376,-0.16,LR,4089,-0.22,LR,3536,-0.32,VU
sp4220,Leptopus clarkei,1717,1525,-0.11,LR,1704,-0.01,LR,1626,-0.05,LR
sp4221,Leptopus hainanensis,50,23,-0.54,EN,36,-0.28,LR,55,0.1,LR
sp4222,Lespedeza bicolor,6229,6327,0.02,LR,5536,-0.11,LR,3882,-0.38,VU
sp4223,Lespedeza buergeri,3170,3577,0.13,LR,3475,0.1,LR,3034,-0.04,LR
sp4224,Lespedeza caraganae,2265,2277,0.01,LR,2427,0.07,LR,2153,-0.05,LR
sp4225,Lespedeza chinensis,2648,2983,0.13,LR,2532,-0.04,LR,1885,-0.29,LR
sp4226,Lespedeza cuneata,6176,7323,0.19,LR,7164,0.16,LR,5479,-0.11,LR
sp4227,Lespedeza cyrtobotrya,2422,3165,0.31,LR,3049,0.26,LR,2842,0.17,LR
sp4228,Lespedeza daurica,5587,9119,0.63,LR,8400,0.5,LR,8384,0.5,LR
sp4229,Lespedeza davidii,1843,1612,-0.13,LR,1265,-0.31,VU,1212,-0.34,VU
sp4230,Lespedeza dunnii,1018,1963,0.93,LR,1488,0.46,LR,794,-0.22,LR
sp4231,Lespedeza floribunda,4887,4276,-0.13,LR,4018,-0.18,LR,3201,-0.34,VU
sp4232,Lespedeza fordii,2006,1860,-0.07,LR,1184,-0.41,VU,1301,-0.35,VU
sp4233,Lespedeza forrestii,597,1547,1.59,LR,1686,1.82,LR,1669,1.8,LR
sp4234,Lespedeza inschanica,3378,4257,0.26,LR,3864,0.14,LR,2242,-0.34,VU
sp4235,Lespedeza juncea,5527,5523,0,LR,4912,-0.11,LR,5146,-0.07,LR
sp4236,Lespedeza maximowiczii,434,421,-0.03,LR,404,-0.07,LR,181,-0.58,EN
sp4237,Lespedeza mucronata,138,393,1.85,LR,353,1.56,LR,164,0.19,LR
sp4238,Lespedeza potaninii,803,1190,0.48,LR,1472,0.83,LR,1356,0.69,LR
sp4239,Lespedeza thunbergii,4676,4311,-0.08,LR,3922,-0.16,LR,3524,-0.25,LR
sp4240,Lespedeza tomentosa,3781,3967,0.05,LR,3136,-0.17,LR,1982,-0.48,VU
sp4241,Lespedeza virgata,4047,4726,0.17,LR,4706,0.16,LR,3784,-0.06,LR
sp4242,Lespedeza virgata var. macrovirgata,199,424,1.13,LR,447,1.25,LR,688,2.46,LR
sp4243,Leucaena leucocephala,1073,869,-0.19,LR,1105,0.03,LR,2687,1.5,LR
sp4244,Leucomeris decora,407,759,0.86,LR,742,0.82,LR,578,0.42,LR
sp4245,Leucosceptrum canum,1135,1952,0.72,LR,2086,0.84,LR,1894,0.67,LR
sp4246,Leucothoe griffithiana,290,662,1.28,LR,575,0.98,LR,300,0.03,LR
sp4247,Leycesteria formosa,2317,3913,0.69,LR,4097,0.77,LR,3884,0.68,LR
sp4248,Leycesteria glaucophylla,147,1201,7.17,LR,1162,6.9,LR,102,-0.31,VU
sp4249,Leycesteria gracilis,830,2064,1.49,LR,1956,1.36,LR,898,0.08,LR
sp4250,Leycesteria sinensis,24,8,-0.67,EN,4,-0.83,CE,0,-1,EX
sp4251,Licuala fordiana,35,9,-0.74,EN,11,-0.69,EN,18,-0.49,VU
sp4252,Licuala spinosa,102,150,0.47,LR,200,0.96,LR,675,5.62,LR
sp4253,Ligustrum compactum,2326,2751,0.18,LR,2818,0.21,LR,2539,0.09,LR
sp4254,Ligustrum compactum var. velutinum,37,0,-1,EX,0,-1,EX,0,-1,EX
sp4255,Ligustrum confusum,1279,1646,0.29,LR,1583,0.24,LR,1394,0.09,LR
sp4256,Ligustrum delavayanum,2187,3197,0.46,LR,3145,0.44,LR,2882,0.32,LR
sp4257,Ligustrum expansum,722,1431,0.98,LR,1067,0.48,LR,466,-0.35,VU
sp4258,Ligustrum gracile,1693,2688,0.59,LR,3114,0.84,LR,2283,0.35,LR
sp4259,Ligustrum henryi,2388,2292,-0.04,LR,2438,0.02,LR,2234,-0.06,LR
sp4260,Ligustrum leucanthum,2568,3213,0.25,LR,2759,0.07,LR,1671,-0.35,VU
sp4261,Ligustrum lianum,1484,2083,0.4,LR,1686,0.14,LR,1039,-0.3,VU
sp4262,Ligustrum longitubum,140,278,0.99,LR,146,0.04,LR,87,-0.38,VU
sp4263,Ligustrum lucidum,5609,6284,0.12,LR,6176,0.1,LR,4997,-0.11,LR
sp4264,Ligustrum obtusifolium,1289,1119,-0.13,LR,897,-0.3,VU,983,-0.24,LR
sp4265,Ligustrum pedunculare,880,1004,0.14,LR,662,-0.25,LR,1061,0.21,LR
sp4266,Ligustrum pricei,991,1192,0.2,LR,885,-0.11,LR,742,-0.25,LR
sp4267,Ligustrum quihoui,3960,3198,-0.19,LR,2982,-0.25,LR,2343,-0.41,VU
sp4268,Ligustrum retusum,1203,796,-0.34,VU,837,-0.3,VU,782,-0.35,VU
sp4269,Ligustrum robustum ssp. chinense,2593,2554,-0.02,LR,2339,-0.1,LR,1890,-0.27,LR
sp4270,Ligustrum sempervirens,754,1102,0.46,LR,1400,0.86,LR,1478,0.96,LR
sp4271,Ligustrum sinense,4716,4453,-0.06,LR,3896,-0.17,LR,3868,-0.18,LR
sp4272,Ligustrum sinense var. coryanum,241,55,-0.77,EN,62,-0.74,EN,170,-0.29,LR
sp4273,Ligustrum sinense var. luodianense,434,1571,2.62,LR,1867,3.3,LR,1895,3.37,LR
sp4274,Ligustrum sinense var. myrianthum,2590,2616,0.01,LR,2802,0.08,LR,2865,0.11,LR
sp4275,Ligustrum sinense var. rugosulum,287,163,-0.43,VU,158,-0.45,VU,634,1.21,LR
sp4276,Ligustrum strongylophyllum,961,816,-0.15,LR,870,-0.09,LR,853,-0.11,LR
sp4277,Limonium suffruticosum,1323,1887,0.43,LR,1872,0.41,LR,2054,0.55,LR
sp4278,Lindera aggregata,3305,4028,0.22,LR,3917,0.19,LR,3441,0.04,LR
sp4279,Lindera aggregata var. playfairii,963,1207,0.25,LR,1232,0.28,LR,1760,0.83,LR
sp4280,Lindera akoensis,48,131,1.73,LR,142,1.96,LR,161,2.35,LR
sp4281,Lindera angustifolia,3644,2978,-0.18,LR,2493,-0.32,VU,2435,-0.33,VU
sp4282,Lindera chienii,679,299,-0.56,EN,62,-0.91,CE,67,-0.9,CE
sp4283,Lindera chunii,1131,2039,0.8,LR,2860,1.53,LR,3750,2.32,LR
sp4284,Lindera communis,5630,6886,0.22,LR,7232,0.28,LR,7329,0.3,LR
sp4285,Lindera doniana,112,39,-0.65,EN,25,-0.78,EN,16,-0.86,CE
sp4286,Lindera erythrocarpa,2210,2157,-0.02,LR,1529,-0.31,VU,941,-0.57,EN
sp4287,Lindera floribunda,2014,1229,-0.39,VU,707,-0.65,EN,629,-0.69,EN
sp4288,Lindera fragrans,2206,1982,-0.1,LR,2197,0,LR,2427,0.1,LR
sp4289,Lindera glauca,3077,2198,-0.29,LR,1891,-0.39,VU,1032,-0.66,EN
sp4290,Lindera gracilipes,318,2371,6.46,LR,2551,7.02,LR,1497,3.71,LR
sp4291,Lindera kariensis,435,419,-0.04,LR,408,-0.06,LR,386,-0.11,LR
sp4292,Lindera kwangtungensis,1160,1095,-0.06,LR,868,-0.25,LR,571,-0.51,EN
sp4293,Lindera latifolia,1027,1692,0.65,LR,1730,0.68,LR,939,-0.09,LR
sp4294,Lindera limprichtii,463,560,0.21,LR,602,0.3,LR,341,-0.26,LR
sp4295,Lindera longipedunculata,443,2445,4.52,LR,2581,4.83,LR,1477,2.33,LR
sp4296,Lindera lungshengensis,40,0,-1,EX,0,-1,EX,0,-1,EX
