PAcode,current_SR,future_SR,SR_dis,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
692,25,23,-2,53.31,2006,137600,11.83,2.49,0.91,511,6.24,567.27,6.34,0.68,0.48,-0.2
689,24,10,-14,53,2005,88850,11.39,2.49,0.91,310,5.74,351.29,5.86,0.93,0.15,-0.78
690,24,20,-4,52.9,2006,68400,11.13,4.45,1.49,566,6.34,646.28,6.47,0.68,0.85,0.17
1119,25,12,-13,52.13,1982,60000,11,3.96,1.38,405,6,318.68,5.76,0.77,0.02,-0.75
195,26,18,-8,52.36,2006,55074,10.92,5.17,1.64,591,6.38,504.76,6.22,0.91,0.41,-0.5
641,32,25,-7,52.27,1998,124527,11.73,2.14,0.76,870,6.77,665.58,6.5,0.85,0.98,0.13
693,28,12,-16,51.63,2005,105580,11.57,2.61,0.96,378,5.93,436.13,6.08,0.78,0.08,-0.7
1007,35,27,-8,51.62,1979,107348,11.58,2,0.69,687,6.53,999.35,6.91,0.69,0.94,0.25
800,36,28,-8,51.66,1984,167213,12.03,1.18,0.17,666,6.5,949.635,6.86,0.81,0.97,0.16
1008,32,14,-18,51.33,1999,229523,12.34,2.04,0.71,637,6.46,508.855,6.23,0.51,0.04,-0.47
758,34,27,-7,51.73,2003,102600,11.54,2.05,0.72,681,6.52,780.91,6.66,0.88,0.92,0.04
691,29,10,-19,50.62,2006,129000,11.77,2.17,0.77,331,5.8,451.02,6.11,0.31,0.02,-0.29
802,20,20,0,48.85,1980,250000,12.43,8.58,2.15,2712,7.91,2269.28,7.73,0.02,0,-0.02
13,32,14,-18,50.23,1997,126000,11.74,6.25,1.83,361,5.89,669.98,6.51,0.04,0,-0.04
801,14,0,-14,49.32,1982,45000,10.71,8.12,2.09,244,5.5,185.81,5.22,0.09,0,-0.09
393,4,0,-4,48.22,1999,32000,10.37,6.58,1.88,11,2.4,40.5,3.7,0.13,0,-0.13
480,13,12,-1,48.69,1999,43800,10.69,7.86,2.06,300,5.7,391.74,5.97,0.9,0.42,-0.48
1009,6,1,-5,47.77,1994,198100,12.2,5.71,1.74,19,2.94,45.38,3.82,0.1,0,-0.1
1124,14,10,-4,48.38,2006,211600,12.26,3.07,1.12,245,5.5,442.66,6.09,0.56,0.27,-0.29
339,20,18,-2,47.85,2005,99040,11.5,10.64,2.36,2252,7.72,1488.31,7.31,0,0,0
675,26,11,-15,49.2,2001,44700,10.71,12.44,2.52,157,5.06,653.91,6.48,0.03,0,-0.03
804,23,2,-21,48.67,1980,100800,11.52,8.87,2.18,253,5.53,328.49,5.79,0.15,0,-0.15
204,16,14,-2,48.23,2004,112000,11.63,10.13,2.32,445,6.1,394.96,5.98,0.94,0.47,-0.47
805,5,0,-5,47.75,1988,21835,9.99,5.54,1.71,7,1.95,52.2,3.96,0.07,0,-0.07
572,1,0,-1,47.69,2001,39700,10.59,6.62,1.89,8,2.08,52.13,3.95,0.04,0,-0.04
1156,23,24,1,47.37,2001,1130000,13.94,5.95,1.78,2445,7.8,2534.94,7.84,0.02,0,-0.02
733,15,10,-5,48.17,2005,60700,11.01,7.17,1.97,250,5.52,439.26,6.09,0.9,0.64,-0.26
482,19,15,-4,47.74,1986,56700,10.95,7.64,2.03,1493,7.31,1378.95,7.23,0,0,0
803,17,23,6,48.67,1986,740000,13.51,4.1,1.41,322,5.77,564.46,6.34,0,0,0
160,8,1,-7,48.28,2006,36500,10.51,11.11,2.41,109,4.69,294.52,5.69,0.01,0,-0.01
695,14,9,-5,48.04,2004,67000,11.11,8.41,2.13,205,5.32,328.29,5.79,0.84,0.24,-0.6
652,4,3,-1,47.22,1998,160600,11.99,7.04,1.95,261,5.56,58.62,4.07,0.03,0,-0.03
1135,23,16,-7,48.54,1997,346800,12.76,6.89,1.93,174,5.16,680.62,6.52,0,0,0
