Pacode,PD.current,PD.future,PD_dis,Type,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
592,656.48,393.12,-263.36,Negative,30.13,2001,37900,10.54,16.95,2.83,291,5.67,51.92,3.95,0.13,0.02,-0.11
899,7382.71,6692.13,-690.58,Negative,30.05,1981,68339,11.13,9.6,2.26,1117,7.02,1040.555,6.95,0.63,0.92,0.29
425,6612.85,6310.74,-302.1,Negative,30.02,1990,34550,10.45,8.66,2.16,1497,7.31,1094.83,7,0.64,0.93,0.29
901,8317.27,7798.08,-519.19,Negative,30.01,1982,66568,11.11,7.79,2.05,1681,7.43,977.78,6.89,0.22,0.94,0.72
1046,5303.94,2755.71,-2548.23,Negative,29.56,1993,36490,10.5,8.06,2.09,2623,7.87,2033.135,7.62,0.6,0.94,0.34
351,3685.62,1222.42,-2463.2,Negative,29.87,2002,18137,9.81,16.44,2.8,1232,7.12,529.91,6.27,0.5,0.34,-0.16
1044,266.63,138.7,-127.93,Stable,29.86,1996,37088,10.52,14.15,2.65,22,3.09,23.57,3.16,0.25,0.06,-0.19
1110,4900.53,4242.56,-657.97,Negative,29.63,1995,2771,7.93,7.19,1.97,1412,7.25,504.08,6.22,0.87,0.98,0.11
1085,5114.97,5634.93,519.95,Positive,28.68,1985,101400,11.53,2.35,0.85,3816,8.25,3950.07,8.28,0.11,0.23,0.12
1091,8069.12,5963.41,-2105.71,Negative,29.7,1986,23200,10.05,7.7,2.04,1298,7.17,788.32,6.67,0.56,0.89,0.33
1047,4348.85,2317.78,-2031.07,Negative,29.54,1981,30452,10.32,14.93,2.7,1362,7.22,344.76,5.84,0.39,0.53,0.14
1048,983.22,535.66,-447.56,Negative,29.2,1995,84300,11.34,6.73,1.91,1845,7.52,4234.47,8.35,0.76,0.31,-0.45
1049,1073.39,541.23,-532.16,Negative,29.2,1999,36025,10.49,5.88,1.77,3573,8.18,3911.95,8.27,0.61,0.43,-0.18
642,3270.24,1568.97,-1701.28,Negative,29.19,2001,40900,10.62,7.31,1.99,3526,8.17,2540.57,7.84,0.43,0.82,0.39
904,876.54,138.7,-737.84,Negative,29.31,1984,190300,12.16,12.68,2.54,127,4.84,27.62,3.32,0.29,0.09,-0.2
905,5547.4,3664.71,-1882.69,Negative,29.42,1981,20105,9.91,9.89,2.29,1166,7.06,485.1,6.18,0.81,0.89,0.08
240,938.99,635.33,-303.65,Negative,29.27,2003,41100,10.62,12.92,2.56,163,5.09,22.86,3.13,0.08,0.02,-0.06
59,2647.47,2318.02,-329.45,Negative,28.76,2000,23693,10.07,8.8,2.17,2421,7.79,3659.91,8.21,0.3,0.26,-0.04
907,1242.58,397.77,-844.82,Negative,29.18,1988,22400,10.02,12.02,2.49,71,4.26,16.12,2.78,0.1,0.05,-0.05
917,6272.44,4619.66,-1652.79,Negative,28.3,1984,281640,12.55,7.8,2.05,2982,8,3546.53,8.17,0.7,0.52,-0.18
725,3682.39,1782.43,-1899.97,Negative,28.8,2001,40800,10.62,11.11,2.41,2932,7.98,2312.435,7.75,0.56,0.7,0.14
471,4239.23,1822.91,-2416.32,Negative,28.95,1997,29650,10.3,8.03,2.08,2946,7.99,2595.23,7.86,0.71,0.96,0.25
911,7536.6,6624.74,-911.86,Negative,29.01,1979,41850,10.64,11.78,2.47,1665,7.42,1171.91,7.07,0.1,0.73,0.63
910,7732.24,6735.7,-996.54,Negative,29.13,1984,26990,10.2,12.2,2.5,1628,7.4,1130.215,7.03,0.17,0.58,0.41
465,395.57,769.01,373.44,Positive,28.96,1997,33300,10.41,10.59,2.36,12,2.48,14.78,2.69,0.05,0.09,0.04
920,9380.62,7799.49,-1581.13,Negative,27.23,1983,405200,12.91,3.34,1.21,3745,8.23,2959.94,7.99,0.55,0.78,0.23
1055,3431.58,1196.95,-2234.62,Negative,28.45,1996,146000,11.89,5.94,1.78,3191,8.07,4019.545,8.3,0.59,0.45,-0.14
330,2734.2,1126.98,-1607.23,Negative,28.65,2002,33700,10.43,11.54,2.45,2916,7.98,3082.8,8.03,0.86,0.71,-0.15
915,4596.55,2679.11,-1917.44,Negative,28.69,1978,50655,10.83,8.23,2.11,2694,7.9,2561.575,7.85,0.74,0.96,0.22
1052,6224.08,3948.87,-2275.21,Negative,28.89,1992,28000,10.24,10.11,2.31,1181,7.07,715.54,6.57,0.48,0.64,0.16
17,636.93,266.63,-370.3,Negative,28.9,1998,33818,10.43,18.1,2.9,115,4.74,57.87,4.06,0.08,0.01,-0.07
912,397.77,138.7,-259.07,Negative,28.9,1997,35680,10.48,14.56,2.68,71,4.26,32.005,3.47,0.05,0.09,0.04
1050,760.21,138.7,-621.51,Negative,28.89,1991,168000,12.03,14.67,2.69,80,4.38,29.26,3.38,0.17,0.05,-0.12
651,3226.41,1692.76,-1533.65,Negative,28.39,1997,120100,11.7,9.59,2.26,3339,8.11,2840.255,7.95,0.39,0.81,0.42
916,4596.17,1788.27,-2807.9,Negative,28.61,1978,30164,10.31,8.73,2.17,2522,7.83,2882.83,7.97,0.65,0.67,0.02
913,6584.72,4701.33,-1883.39,Negative,28.76,1987,31113,10.35,15.08,2.71,951,6.86,844.74,6.74,0.31,0.17,-0.14
914,6176.07,3146.23,-3029.84,Negative,28.82,1982,24800,10.12,7.12,1.96,1058,6.96,593.83,6.39,0.81,0.98,0.17
762,1124.5,783.57,-340.93,Negative,28.68,2001,43000,10.67,20.39,3.02,75,4.32,46.99,3.85,0.37,0,-0.37
60,2150.35,535.91,-1614.44,Negative,28.46,1996,28719,10.27,11.25,2.42,630,6.45,397.46,5.99,0.87,0.08,-0.79
760,5343.95,2695.41,-2648.54,Negative,28.62,1993,17170,9.75,12.29,2.51,735,6.6,559.39,6.33,0.72,0.62,-0.1
637,4410.1,2234.38,-2175.72,Negative,28.24,2001,38800,10.57,13.13,2.57,2565,7.85,1564.25,7.36,0.6,0.52,-0.08
359,6286.12,5238.72,-1047.4,Negative,28.26,1994,48700,10.79,13.6,2.61,1306,7.17,1011.39,6.92,0.27,0.44,0.17
1112,5301.1,4610.83,-690.27,Negative,28.04,1981,16007,9.68,8.57,2.15,1766,7.48,732.71,6.6,0.84,0.98,0.14
925,4758.21,1861.03,-2897.18,Negative,27.85,1982,14133,9.56,6.15,1.82,1878,7.54,3413.06,8.14,0.67,0.85,0.18
795,6459.23,5952.12,-507.11,Negative,28.18,1989,26231,10.17,12.17,2.5,1028,6.94,1180.39,7.07,0.06,0.66,0.6
780,3114.39,1025.12,-2089.26,Negative,28.24,2003,13900,9.54,11.84,2.47,560,6.33,327.19,5.79,0.79,0.52,-0.27
320,5314.82,4470.61,-844.21,Negative,28.05,2002,36522,10.51,14.28,2.66,1154,7.05,1067.89,6.97,0.12,0.38,0.26
924,4740.82,4626.97,-113.85,Stable,27.74,1979,56527,10.94,7.24,1.98,1873,7.54,915.08,6.82,0.88,0.97,0.09
321,4292.02,2116.31,-2175.7,Negative,27.7,2001,44128,10.69,13.62,2.61,2929,7.98,1978.49,7.59,0.13,0.28,0.15
923,9332.09,6835.89,-2496.2,Negative,27.9,1986,41960,10.64,8.77,2.17,2072,7.64,1029.55,6.94,0.06,0.74,0.68
611,3711.42,2455.34,-1256.08,Negative,27.7,1994,13867,9.54,8.83,2.18,869,6.77,436.37,6.08,0.92,0.88,-0.04
931,5434.45,1607.25,-3827.19,Negative,27.32,1985,21908,9.99,8.16,2.1,3270,8.09,3243.63,8.08,0.61,0.68,0.07
448,3319.3,1364.02,-1955.28,Negative,27.32,1984,20141,9.91,12.59,2.53,3350,8.12,1817.19,7.51,0.07,0.41,0.34
4,6128.52,2151.32,-3977.2,Negative,27.29,1980,30600,10.33,10.89,2.39,966,6.87,416.87,6.03,0.1,0.67,0.57
772,2572.73,874.39,-1698.34,Negative,27.26,2000,22000,10,11.2,2.42,837,6.73,223.7,5.41,0.8,0.4,-0.4
1163,4776.21,1813.25,-2962.96,Negative,27.23,1992,58300,10.97,9.02,2.2,1159,7.06,441.11,6.09,0.77,0.89,0.12
323,3212.86,1645.66,-1567.2,Negative,26.88,2003,16300,9.7,16.3,2.79,2183,7.69,1909.62,7.55,0.28,0.48,0.2
344,6110.12,2901.92,-3208.2,Negative,26.48,1998,75894,11.24,11.1,2.41,2191,7.69,2648.21,7.88,0.64,0.7,0.06
1114,4066.98,1525.7,-2541.28,Negative,26.68,1988,4278,8.36,14.37,2.67,1189,7.08,461.49,6.13,0.54,0.77,0.23
37,9395.39,4369.63,-5025.75,Negative,26.59,1982,21720,9.99,11.58,2.45,1277,7.15,669.78,6.51,0.08,0.64,0.56
770,4326.07,2304.17,-2021.9,Negative,26.36,1995,18061,9.8,8.26,2.11,596,6.39,568.71,6.34,0.77,0.83,0.06
938,4403.65,4462.96,59.31,Stable,26.05,1988,133150,11.8,14.3,2.66,1183,7.08,2094.155,7.65,0.09,0.21,0.12
937,8831.19,7079.32,-1751.87,Negative,26.42,1982,47300,10.76,7.36,2,1401,7.24,1311.15,7.18,0.64,0.98,0.34
