PAcode,PD.current,PD.future,PD_dis,Type,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
1024,5594.44,3931.2,-1663.25,Negative,32.65,1993,28227,10.25,5.14,1.64,2770,7.93,2141.2,7.67,0.64,0.95,0.31
726,4029.5,1140.16,-2889.34,Negative,32.59,2001,30760,10.33,10.07,2.31,1513,7.32,1075.98,6.98,0.56,0.14,-0.42
882,5765.19,6645.14,879.95,Positive,32.64,1991,40155,10.6,9.31,2.23,1591,7.37,1570.24,7.36,0.88,0.9,0.02
1173,269.84,268.65,-1.19,Stable,30.6,2001,1099800,13.91,4.95,1.6,2679,7.89,4897.325,8.5,0,0,0
1026,1947.76,2862.18,914.42,Positive,32.26,2001,62300,11.04,6.99,1.94,2424,7.79,4016.91,8.3,0.53,0.24,-0.29
1025,5672.14,4368.28,-1303.85,Negative,32.3,1993,76710,11.25,5.74,1.75,3460,8.15,2907.03,7.97,0.61,0.73,0.12
438,6277.44,6070.75,-206.7,Negative,32.4,1986,63000,11.05,8.49,2.14,1529,7.33,1151.95,7.05,0.56,0.9,0.34
210,1192.04,613.96,-578.08,Negative,32.55,2003,45103,10.72,20.62,3.03,314,5.75,163.43,5.1,0,0,0
892,406.79,794.12,387.33,Positive,31.41,1993,63700,11.06,7.23,1.98,1000,6.91,4640.425,8.44,0.12,0,-0.12
236,380.91,542.79,161.88,Positive,31.82,2002,21491,9.98,26.68,3.28,27,3.3,2.64,0.97,0,0,0
437,5414.65,4305.09,-1109.56,Negative,32.08,1994,44400,10.7,5.37,1.68,2471,7.81,2030.37,7.62,0.51,0.97,0.46
1028,9682.41,9597.05,-85.36,Stable,31.89,1979,136017,11.82,8.44,2.13,2036,7.62,1693.095,7.43,0.77,0.95,0.18
211,6484.06,4802.23,-1681.83,Negative,32.07,2004,36892,10.52,12.03,2.49,1242,7.12,787.835,6.67,0.55,0.47,-0.08
