Species,Name,current,RCP2.6,RCP2.6_CSH,Type_1,RCP6.0,RCP6.0_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp109,Acer nikoense,700,1338,0.91,LR,643,-0.08,LR,520,-0.26,LR
sp110,Acer oblongum,3335,2993,-0.1,LR,2859,-0.14,LR,2495,-0.25,LR
sp111,Acer oligocarpum,284,1524,4.37,LR,1613,4.68,LR,832,1.93,LR
sp112,Acer oliverianum,3321,2724,-0.18,LR,2415,-0.27,LR,1779,-0.46,VU
sp113,Acer palmatum,2747,2614,-0.05,LR,1986,-0.28,LR,1372,-0.5,EN
sp114,Acer pauciflorum,675,843,0.25,LR,218,-0.68,EN,174,-0.74,EN
sp115,Acer paxii,874,1411,0.61,LR,1720,0.97,LR,1582,0.81,LR
sp116,Acer pectinatum,1193,3009,1.52,LR,3257,1.73,LR,2085,0.75,LR
sp117,Acer pectinatum ssp. taronense,690,1409,1.04,LR,1414,1.05,LR,1277,0.85,LR
sp118,Acer pentaphyllum,113,357,2.16,LR,333,1.95,LR,138,0.22,LR
sp119,Acer pictum ssp. macropterum,1880,2364,0.26,LR,2327,0.24,LR,2125,0.13,LR
sp120,Acer pictum ssp. mono,5071,4856,-0.04,LR,4389,-0.13,LR,4227,-0.17,LR
sp121,Acer pictum ssp. tricuspis,828,1117,0.35,LR,1267,0.53,LR,814,-0.02,LR
sp122,Acer pilosum var. stenolobum,502,213,-0.58,EN,256,-0.49,VU,611,0.22,LR
sp123,Acer pinnatinervium,106,24,-0.77,EN,22,-0.79,EN,1,-0.99,CE
sp124,Acer pseudosieboldianum,381,772,1.03,LR,602,0.58,LR,735,0.93,LR
sp125,Acer pubinerve,1581,1252,-0.21,LR,557,-0.65,EN,294,-0.81,CE
sp126,Acer pubipetiolatum,899,1793,0.99,LR,1745,0.94,LR,751,-0.16,LR
sp127,Acer pubipetiolatum var. pingpienense,337,204,-0.39,VU,52,-0.85,CE,52,-0.85,CE
sp128,Acer shenkanense,1733,1381,-0.2,LR,1291,-0.26,LR,941,-0.46,VU
sp129,Acer sikkimense,1334,1997,0.5,LR,2043,0.53,LR,1382,0.04,LR
sp130,Acer sinense,3752,2762,-0.26,LR,2128,-0.43,VU,1319,-0.65,EN
sp131,Acer sino-oblongum,274,126,-0.54,EN,83,-0.7,EN,211,-0.23,LR
sp132,Acer sinopurpurascens,443,278,-0.37,VU,55,-0.88,CE,11,-0.98,CE
sp133,Acer stachyophyllum,1198,2406,1.01,LR,2467,1.06,LR,1409,0.18,LR
sp134,Acer stachyophyllum ssp. betulifolium,1929,2271,0.18,LR,2291,0.19,LR,2412,0.25,LR
sp135,Acer sterculiaceum,315,712,1.26,LR,816,1.59,LR,814,1.58,LR
sp136,Acer sterculiaceum ssp. franchetii,1753,1864,0.06,LR,1962,0.12,LR,1786,0.02,LR
sp137,Acer sutchuenense,404,772,0.91,LR,608,0.5,LR,528,0.31,LR
sp138,Acer sycopseoides,79,0,-1,EX,0,-1,EX,8,-0.9,CE
sp139,Acer tataricum ssp. ginnala,4534,4667,0.03,LR,4172,-0.08,LR,3878,-0.14,LR
sp140,Acer tataricum ssp. semenovii,145,104,-0.28,LR,108,-0.26,LR,39,-0.73,EN
sp141,Acer tataricum ssp. theiferum,1428,1285,-0.1,LR,1030,-0.28,LR,1345,-0.06,LR
sp142,Acer tegmentosum,1055,2292,1.17,LR,2284,1.16,LR,2154,1.04,LR
sp143,Acer thomsonii,205,1055,4.15,LR,1134,4.53,LR,619,2.02,LR
sp144,Acer tibetense,85,0,-1,EX,0,-1,EX,0,-1,EX
sp145,Acer tonkinense,1036,1873,0.81,LR,2057,0.99,LR,1610,0.55,LR
sp146,Acer triflorum,611,907,0.48,LR,767,0.26,LR,874,0.43,LR
sp147,Acer truncatum,2685,3407,0.27,LR,2877,0.07,LR,1949,-0.27,LR
sp148,Acer tsinglingense,1280,2962,1.31,LR,3181,1.49,LR,2153,0.68,LR
sp149,Acer tutcheri,1870,2057,0.1,LR,1907,0.02,LR,1370,-0.27,LR
sp150,Acer ukurunduense,695,1268,0.82,LR,1273,0.83,LR,949,0.37,LR
sp151,Acer wangchii,570,622,0.09,LR,743,0.3,LR,1055,0.85,LR
sp152,Acer wardii,336,83,-0.75,EN,68,-0.8,CE,53,-0.84,CE
sp153,Acer wilsonii,2142,743,-0.65,EN,447,-0.79,EN,425,-0.8,CE
sp154,Acidosasa chienouensis,29,1,-0.97,CE,8,-0.72,EN,4,-0.86,CE
sp155,Acidosasa nanunica,494,1191,1.41,LR,1316,1.66,LR,1075,1.18,LR
sp156,Acidosasa notata,115,285,1.48,LR,297,1.58,LR,95,-0.17,LR
sp157,Acidosasa purpurea,53,2,-0.96,CE,0,-1,EX,19,-0.64,EN
sp158,Acrocarpus fraxinifolius,529,799,0.51,LR,731,0.38,LR,747,0.41,LR
sp159,Acronychia pedunculata,1260,1902,0.51,LR,2102,0.67,LR,2204,0.75,LR
sp160,Actephila excelsa,231,471,1.04,LR,545,1.36,LR,585,1.53,LR
sp161,Actephila merrilliana,276,648,1.35,LR,799,1.89,LR,967,2.5,LR
sp162,Actinidia arguta,4004,4676,0.17,LR,3894,-0.03,LR,2164,-0.46,VU
sp163,Actinidia arguta var. giraldii,589,332,-0.44,VU,106,-0.82,CE,187,-0.68,EN
sp164,Actinidia callosa,3665,2611,-0.29,LR,2140,-0.42,VU,1973,-0.46,VU
sp165,Actinidia callosa var. discolor,2242,2460,0.1,LR,2120,-0.05,LR,1947,-0.13,LR
sp166,Actinidia callosa var. henryi,3374,3544,0.05,LR,3242,-0.04,LR,2510,-0.26,LR
sp167,Actinidia callosa var. strigillosa,378,533,0.41,LR,555,0.47,LR,368,-0.03,LR
sp168,Actinidia chengkouensis,217,68,-0.69,EN,54,-0.75,EN,15,-0.93,CE
sp169,Actinidia chinensis,3412,3459,0.01,LR,3077,-0.1,LR,2625,-0.23,LR
sp170,Actinidia chinensis var. deliciosa,1927,1367,-0.29,LR,1127,-0.42,VU,992,-0.49,VU
sp171,Actinidia chrysantha,1212,1529,0.26,LR,1376,0.14,LR,892,-0.26,LR
sp172,Actinidia cylindrica,161,68,-0.58,EN,42,-0.74,EN,358,1.22,LR
sp173,Actinidia eriantha,1690,2045,0.21,LR,1636,-0.03,LR,1392,-0.18,LR
sp174,Actinidia fasciculoides,141,24,-0.83,CE,25,-0.82,CE,305,1.16,LR
sp175,Actinidia fasciculoides var. cuneata,56,22,-0.61,EN,13,-0.77,EN,169,2.02,LR
sp176,Actinidia fortunatii,1102,876,-0.21,LR,892,-0.19,LR,374,-0.66,EN
sp177,Actinidia fulvicoma,1971,2148,0.09,LR,1790,-0.09,LR,2753,0.4,LR
sp178,Actinidia fulvicoma var. cinerascens,1000,1342,0.34,LR,1210,0.21,LR,891,-0.11,LR
sp179,Actinidia fulvicoma var. hirsuta,1364,427,-0.69,EN,136,-0.9,CE,207,-0.85,CE
sp180,Actinidia fulvicoma var. pachyphylla,253,940,2.72,LR,549,1.17,LR,411,0.62,LR
sp181,Actinidia glaucocallosa,138,274,0.99,LR,193,0.4,LR,15,-0.89,CE
sp182,Actinidia hemsleyana,969,2049,1.11,LR,1581,0.63,LR,893,-0.08,LR
sp183,Actinidia henryi,758,344,-0.55,EN,233,-0.69,EN,627,-0.17,LR
sp184,Actinidia indochinensis,638,69,-0.89,CE,107,-0.83,CE,424,-0.34,VU
sp185,Actinidia kolomikta,1796,2208,0.23,LR,1980,0.1,LR,1545,-0.14,LR
sp186,Actinidia lanceolata,1514,1661,0.1,LR,1172,-0.23,LR,748,-0.51,EN
sp187,Actinidia latifolia,2755,3318,0.2,LR,3314,0.2,LR,3762,0.37,LR
sp188,Actinidia latifolia var. mollis,342,456,0.33,LR,172,-0.5,EN,515,0.51,LR
sp189,Actinidia liangguangensis,379,276,-0.27,LR,89,-0.77,EN,166,-0.56,EN
sp190,Actinidia macrosperma,1366,2305,0.69,LR,1825,0.34,LR,1329,-0.03,LR
sp191,Actinidia macrosperma var. mumoides,84,23,-0.73,EN,2,-0.98,CE,0,-1,EX
sp192,Actinidia melanandra,2057,2642,0.28,LR,2283,0.11,LR,1055,-0.49,VU
sp193,Actinidia melanandra var. glabrescens,206,686,2.33,LR,109,-0.47,VU,91,-0.56,EN
sp194,Actinidia melliana,1238,1205,-0.03,LR,1010,-0.18,LR,708,-0.43,VU
sp195,Actinidia obovata,405,2316,4.72,LR,2393,4.91,LR,1259,2.11,LR
sp196,Actinidia pilosula,431,223,-0.48,VU,162,-0.62,EN,100,-0.77,EN
sp197,Actinidia polygama,3127,3812,0.22,LR,3169,0.01,LR,1873,-0.4,VU
sp198,Actinidia rubricaulis,2061,2025,-0.02,LR,1612,-0.22,LR,1788,-0.13,LR
sp199,Actinidia rubricaulis var. coriacea,1916,1343,-0.3,VU,1073,-0.44,VU,1211,-0.37,VU
sp200,Actinidia rubus,110,172,0.56,LR,189,0.72,LR,151,0.37,LR
sp201,Actinidia rudis,298,408,0.37,LR,396,0.33,LR,383,0.29,LR
sp202,Actinidia rudis var. glabricaulis,95,97,0.02,LR,38,-0.6,EN,94,-0.01,LR
sp203,Actinidia rufotricha var. glomerata,44,14,-0.68,EN,8,-0.82,CE,151,2.43,LR
sp204,Actinidia sabiifolia,960,1178,0.23,LR,974,0.01,LR,474,-0.51,EN
sp205,Actinidia sorbifolia,224,4,-0.98,CE,0,-1,EX,1,-1,EX
sp206,Actinidia styracifolia,785,1717,1.19,LR,1258,0.6,LR,690,-0.12,LR
sp207,Actinidia tetramera,1305,1903,0.46,LR,1873,0.44,LR,1139,-0.13,LR
sp208,Actinidia trichogyna,684,518,-0.24,LR,272,-0.6,EN,432,-0.37,VU
sp209,Actinidia umbelloides,315,530,0.68,LR,474,0.5,LR,47,-0.85,CE
sp210,Actinidia valvata,1576,2146,0.36,LR,1574,0,LR,843,-0.47,VU
sp211,Actinidia venosa,1353,2235,0.65,LR,2311,0.71,LR,1350,0,LR
sp212,Actinidia vitifolia,106,485,3.58,LR,496,3.68,LR,211,0.99,LR
sp213,Actinidia zhejiangensis,140,570,3.07,LR,389,1.78,LR,328,1.34,LR
sp214,Actinodaphne acuminata,507,267,-0.47,VU,593,0.17,LR,223,-0.56,EN
sp215,Actinodaphne cupularis,2578,1857,-0.28,LR,1409,-0.45,VU,1218,-0.53,EN
sp216,Actinodaphne forrestii,882,860,-0.02,LR,620,-0.3,VU,664,-0.25,LR
sp217,Actinodaphne glaucina,49,17,-0.65,EN,21,-0.57,EN,32,-0.35,VU
sp218,Actinodaphne henryi,147,249,0.69,LR,249,0.69,LR,167,0.14,LR
sp219,Actinodaphne koshepangii,488,424,-0.13,LR,277,-0.43,VU,236,-0.52,EN
sp220,Actinodaphne kweichowensis,91,30,-0.67,EN,0,-1,EX,7,-0.92,CE
sp221,Actinodaphne lecomtei,1247,1288,0.03,LR,945,-0.24,LR,1068,-0.14,LR
sp222,Actinodaphne obovata,611,1606,1.63,LR,1479,1.42,LR,892,0.46,LR
sp223,Actinodaphne omeiensis,195,924,3.74,LR,1052,4.39,LR,272,0.39,LR
sp224,Actinodaphne pilosa,791,1111,0.4,LR,886,0.12,LR,784,-0.01,LR
sp225,Actinodaphne trichocarpa,1218,1578,0.3,LR,1558,0.28,LR,1188,-0.02,LR
sp226,Actinodaphne tsaii,288,647,1.25,LR,571,0.98,LR,972,2.38,LR
sp227,Adenanthera microsperma,1846,2274,0.23,LR,2508,0.36,LR,2869,0.55,LR
sp228,Adenia cardiophylla,225,397,0.76,LR,439,0.95,LR,171,-0.24,LR
sp229,Adhatoda vasica,943,946,0,LR,786,-0.17,LR,712,-0.24,LR
sp230,Adina pilulifera,2825,3271,0.16,LR,3352,0.19,LR,3221,0.14,LR
sp231,Adina rubella,2950,3145,0.07,LR,2731,-0.07,LR,2560,-0.13,LR
sp232,Adinandra bockiana,2271,1924,-0.15,LR,2130,-0.06,LR,1809,-0.2,LR
